++average   	++position_x	++position_y	++radius    	
$$0.17929	$$172.00000	$$139.00000	$$8.00000	
$$0.17853	$$172.00000	$$139.00000	$$8.00000	
$$0.17955	$$172.00000	$$139.00000	$$8.00000	
$$0.18074	$$172.00000	$$139.00000	$$8.00000	
$$0.18448	$$172.00000	$$139.00000	$$8.00000	
$$0.18983	$$172.00000	$$139.00000	$$8.00000	
$$0.19510	$$172.00000	$$139.00000	$$8.00000	
$$0.20250	$$172.00000	$$139.00000	$$8.00000	
$$0.21075	$$172.00000	$$139.00000	$$8.00000	
$$0.23888	$$172.00000	$$139.00000	$$8.00000	
$$0.26685	$$172.00000	$$139.00000	$$8.00000	
$$0.27867	$$172.00000	$$139.00000	$$8.00000	
$$0.27944	$$172.00000	$$139.00000	$$8.00000	
$$0.27604	$$172.00000	$$139.00000	$$8.00000	
$$0.28760	$$172.00000	$$139.00000	$$8.00000	
$$0.29329	$$172.00000	$$139.00000	$$8.00000	
$$0.31064	$$172.00000	$$139.00000	$$8.00000	
$$0.31480	$$172.00000	$$139.00000	$$8.00000	
$$0.31472	$$172.00000	$$139.00000	$$8.00000	
$$0.31871	$$172.00000	$$139.00000	$$8.00000	
$$0.31744	$$172.00000	$$139.00000	$$8.00000	
$$0.31455	$$172.00000	$$139.00000	$$8.00000	
$$0.30817	$$172.00000	$$139.00000	$$8.00000	
$$0.30290	$$172.00000	$$139.00000	$$8.00000	
$$0.29958	$$172.00000	$$139.00000	$$8.00000	
$$0.29771	$$172.00000	$$139.00000	$$8.00000	
$$0.29627	$$172.00000	$$139.00000	$$8.00000	
$$0.29941	$$172.00000	$$139.00000	$$8.00000	
$$0.29967	$$172.00000	$$139.00000	$$8.00000	
$$0.30434	$$172.00000	$$139.00000	$$8.00000	
$$0.30409	$$172.00000	$$139.00000	$$8.00000	
$$0.30137	$$172.00000	$$139.00000	$$8.00000	
$$0.30281	$$172.00000	$$139.00000	$$8.00000	
$$0.30086	$$172.00000	$$139.00000	$$8.00000	
$$0.29899	$$172.00000	$$139.00000	$$8.00000	
$$0.29848	$$172.00000	$$139.00000	$$8.00000	
$$0.29856	$$172.00000	$$139.00000	$$8.00000	
$$0.29278	$$172.00000	$$139.00000	$$8.00000	
$$0.28981	$$172.00000	$$140.00000	$$8.00000	
$$0.28624	$$172.00000	$$140.00000	$$8.00000	
$$0.27910	$$172.00000	$$140.00000	$$8.00000	
$$0.26447	$$172.00000	$$139.00000	$$8.00000	
$$0.24730	$$172.00000	$$139.00000	$$8.00000	
$$0.23659	$$172.00000	$$139.00000	$$8.00000	
$$0.22231	$$172.00000	$$139.00000	$$8.00000	
$$0.20760	$$172.00000	$$139.00000	$$8.00000	
$$0.20020	$$172.00000	$$140.00000	$$8.00000	
$$0.19468	$$172.00000	$$140.00000	$$8.00000	
$$0.19502	$$172.00000	$$139.00000	$$8.00000	
$$0.18949	$$172.00000	$$139.00000	$$8.00000	
$$0.17283	$$170.00000	$$140.00000	$$8.00000	
$$0.18405	$$172.00000	$$139.00000	$$8.00000	
$$0.16977	$$170.00000	$$140.00000	$$8.00000	
