++average   	++position_x	++position_y	++radius    	++flow      	
$$0.21717	$$190.00000	$$157.00000	$$8.00000	$$-6.43000	
$$0.21666	$$190.00000	$$157.00000	$$8.00000	$$-6.36000	
$$0.21557	$$190.00000	$$157.00000	$$8.00000	$$-7.01000	
$$0.21390	$$190.00000	$$157.00000	$$8.00000	$$-7.17000	
$$0.21300	$$190.00000	$$157.00000	$$8.00000	$$-6.94000	
$$0.21158	$$190.00000	$$157.00000	$$8.00000	$$-7.10000	
$$0.20857	$$190.00000	$$157.00000	$$8.00000	$$-6.14000	
$$0.20182	$$190.00000	$$157.00000	$$8.00000	$$-6.73000	
$$0.19495	$$190.00000	$$157.00000	$$8.00000	$$-6.97000	
$$0.17967	$$190.00000	$$157.00000	$$8.00000	$$-7.11000	
$$0.15964	$$190.00000	$$157.00000	$$8.00000	$$-6.94000	
$$0.14872	$$190.00000	$$157.00000	$$8.00000	$$-6.85000	
$$0.14198	$$190.00000	$$157.00000	$$8.00000	$$-6.98000	
$$0.13401	$$190.00000	$$157.00000	$$8.00000	$$-6.74000	
$$0.13067	$$190.00000	$$157.00000	$$8.00000	$$-6.99000	
$$0.12817	$$190.00000	$$157.00000	$$8.00000	$$-7.38000	
$$0.12567	$$190.00000	$$157.00000	$$8.00000	$$-6.57000	
$$0.12445	$$190.00000	$$157.00000	$$8.00000	$$-6.64000	
$$0.12271	$$190.00000	$$157.00000	$$8.00000	$$-7.22000	
$$0.11905	$$190.00000	$$157.00000	$$8.00000	$$-6.45000	
$$0.11867	$$190.00000	$$157.00000	$$8.00000	$$-7.07000	
$$0.11713	$$190.00000	$$157.00000	$$8.00000	$$-7.04000	
$$0.11571	$$190.00000	$$157.00000	$$8.00000	$$-7.14000	
$$0.11584	$$190.00000	$$157.00000	$$8.00000	$$2.75000	
$$0.11546	$$190.00000	$$157.00000	$$8.00000	$$11.32000	
$$0.11732	$$190.00000	$$157.00000	$$8.00000	$$16.47000	
$$0.11873	$$190.00000	$$157.00000	$$8.00000	$$18.72000	
$$0.11584	$$190.00000	$$157.00000	$$8.00000	$$18.28000	
$$0.11642	$$190.00000	$$157.00000	$$8.00000	$$20.00000	
$$0.11334	$$190.00000	$$157.00000	$$8.00000	$$20.32000	
$$0.11154	$$190.00000	$$157.00000	$$8.00000	$$21.77000	
$$0.10981	$$190.00000	$$157.00000	$$8.00000	$$21.46000	
$$0.10865	$$190.00000	$$157.00000	$$8.00000	$$20.49000	
$$0.10704	$$190.00000	$$157.00000	$$8.00000	$$21.24000	
$$0.14275	$$188.00000	$$157.00000	$$8.00000	$$22.91000	
$$0.14339	$$188.00000	$$157.00000	$$8.00000	$$22.01000	
$$0.10775	$$190.00000	$$157.00000	$$8.00000	$$20.41000	
$$0.14583	$$188.00000	$$157.00000	$$8.00000	$$17.08000	
$$0.11032	$$190.00000	$$157.00000	$$8.00000	$$15.70000	
